Tenor,MEXICO SOVEREIGN CURVE
1M,7.865
3M,7.738
6M,7.76
1Y,7.799
2Y,7.77
3Y,8.038
4Y,8.211
5Y,8.34
8Y,8.685
10Y,8.967
15Y,9.22
20Y,9.505
25Y,9.571
30Y,9.582
